# Apple Swift version 6.2.3 (swift-6.2.3-RELEASE)
# Target: arm64-apple-macosx26.0
# Build config: +assertions
# Tools version: 6.2.0
optional StrictMemorySafety no
upcoming ConciseMagicFile yes
upcoming ForwardTrailingClosures yes
upcoming StrictConcurrency yes
upcoming BareSlashRegexLiterals yes
upcoming DeprecateApplicationMain yes
upcoming ImportObjcForwardDeclarations yes
upcoming DisableOutwardActorInference yes
upcoming IsolatedDefaultValues yes
upcoming GlobalConcurrency yes
upcoming InferSendableFromCaptures yes
upcoming ImplicitOpenExistentials yes
upcoming RegionBasedIsolation yes
upcoming DynamicActorIsolation yes
upcoming NonfrozenEnumExhaustivity yes
upcoming GlobalActorIsolatedTypesUsability yes
upcoming ExistentialAny no
upcoming InternalImportsByDefault no
upcoming MemberImportVisibility no
upcoming InferIsolatedConformances no
upcoming NonisolatedNonsendingByDefault no
upcoming ImmutableWeakCaptures no
experimental StaticAssert no
experimental NamedOpaqueTypes no
experimental FlowSensitiveConcurrencyCaptures no
experimental CodeItemMacros no
experimental PreambleMacros no
experimental TupleConformances no
experimental FullTypedThrows no
experimental SameElementRequirements no
experimental KeyPathWithMethodMembers no
experimental LazyImmediate no
experimental AllowNonResilientAccessInPackage no
experimental ClientBypassResilientAccessInPackage no
experimental PackageCMO no
experimental DifferentiableProgramming no
experimental ForwardModeDifferentiation no
experimental AdditiveArithmeticDerivedConformances no
experimental ParserRoundTrip yes
experimental ParserValidation yes
experimental UnqualifiedLookupValidation no
experimental ImplicitSome no
experimental ParserASTGen no
experimental BuiltinMacros no
experimental ImportSymbolicCXXDecls no
experimental GenerateBindingsForThrowingFunctionsInCXX no
experimental ThenStatements no
experimental DoExpressions no
experimental ImplicitLastExprResults no
experimental ExtractConstantsFromMembers no
experimental ReinitializeConsumeInMultiBlockDefer no
experimental TrailingComma no
experimental CoroutineAccessorsUnwindOnCallerError no
experimental DefaultIsolationPerFile no
