# Apple Swift version 6.3 (swift-6.3-RELEASE)
# Target: arm64-apple-macosx26.0
# Tools version: 6.3.0
optional StrictMemorySafety no
optional LibraryEvolution no
upcoming ConciseMagicFile yes
upcoming ForwardTrailingClosures yes
upcoming StrictConcurrency yes
upcoming BareSlashRegexLiterals yes
upcoming DeprecateApplicationMain yes
upcoming ImportObjcForwardDeclarations yes
upcoming DisableOutwardActorInference yes
upcoming IsolatedDefaultValues yes
upcoming GlobalConcurrency yes
upcoming InferSendableFromCaptures yes
upcoming ImplicitOpenExistentials yes
upcoming RegionBasedIsolation yes
upcoming DynamicActorIsolation yes
upcoming NonfrozenEnumExhaustivity yes
upcoming GlobalActorIsolatedTypesUsability yes
upcoming ExistentialAny no
upcoming InternalImportsByDefault no
upcoming MemberImportVisibility no
upcoming InferIsolatedConformances no
upcoming NonisolatedNonsendingByDefault no
upcoming ImmutableWeakCaptures no
experimental MacrosOnImports no
experimental DeferredCodeGen no
experimental MoveOnlyClasses no
experimental NoImplicitCopy no
experimental OldOwnershipOperatorSpellings no
experimental MoveOnlyEnumDeinits no
experimental MoveOnlyTuples no
experimental MoveOnlyPartialReinitialization no
experimental ConsumeSelfInDeinit no
experimental AccessLevelOnImport no
experimental NoExplicitNonIsolated no
experimental LayoutStringValueWitnesses no
experimental LayoutStringValueWitnessesInstantiation no
experimental OpaqueTypeErasure no
experimental ReferenceBindings no
experimental BuiltinModule no
experimental PlaygroundExtendedCallbacks no
experimental RawLayout no
experimental Embedded no
experimental Volatile no
experimental SuppressedAssociatedTypes no
experimental StructLetDestructuring no
experimental LifetimeDependence no
experimental StaticExclusiveOnly no
experimental GroupActorErrors no
experimental ClosureIsolation no
experimental ObjCImplementationWithResilientStorage no
experimental Sensitive no
experimental DebugDescriptionMacro no
experimental SE427NoInferenceOnExtension no
experimental Extern no
experimental SafeInteropWrappers no
experimental AssumeResilientCxxTypes no
experimental ImportNonPublicCxxMembers no
experimental CoroutineAccessors no
experimental AddressableParameters no
experimental AddressableTypes no
experimental CustomAvailability no
experimental ConcurrencySyntaxSugar no
experimental CompileTimeValues no
experimental ClosureBodyMacro no
experimental AllowRuntimeSymbolDeclarations no
experimental Lifetimes no
experimental ImportMacroAliases no
experimental SwiftRuntimeAvailability no
experimental StandaloneSwiftAvailability no
experimental AnyAppleOSAvailability no
experimental CheckImplementationOnly no
